Memory Length,4000,
Trigger Level,4.600E-01,
Source,CH1,
Vertical Units,V,
Vertical Scale,5.000E-01,
Vertical Position,6.000E-02,
Horizontal Units,s,
Horizontal Scale,1.000E-03,
Horizontal Position,-1.320E-03,
Horizontal Mode,Main,
Sampling Period,4.000E-06,
Firmware, V1.12,
Waveform Data,
0,
0,
0,
1,
1,
1,
1,
0,
1,
1,
1,
1,
1,
0,
0,
1,
0,
1,
0,
1,
0,
0,
1,
0,
1,
0,
1,
1,
0,
1,
1,
1,
1,
1,
0,
0,
1,
0,
1,
0,
0,
0,
0,
1,
1,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,
0,
0,
0,
1,
0,
1,
0,
1,
1,
1,
0,
0,
0,
0,
1,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,
0,
0,
1,
0,
0,
0,
1,
0,
0,
0,
1,
0,
1,
1,
0,
1,
0,
0,
0,
0,
0,
1,
0,
1,
0,
0,
0,
1,
0,
0,
0,
0,
1,
0,
0,
0,
0,
0,
0,
1,
0,
0,
1,
1,
0,
0,
0,
0,
0,
1,
0,
0,
0,
0,
0,
0,
1,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,
0,
-1,
0,
0,
0,
0,
0,
1,
0,
0,
1,
0,
0,
0,
0,
0,
0,
0,
1,
0,
0,
1,
0,
0,
0,
0,
0,
0,
1,
0,
0,
0,
0,
0,
1,
0,
0,
0,
0,
0,
1,
0,
1,
0,
1,
0,
0,
0,
0,
0,
0,
1,
0,
1,
1,
1,
0,
0,
1,
0,
0,
0,
0,
0,
0,
1,
0,
0,
0,
1,
1,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,
1,
0,
0,
0,
0,
1,
1,
1,
1,
0,
0,
0,
0,
0,
1,
0,
0,
0,
0,
0,
1,
0,
1,
0,
1,
1,
1,
0,
0,
0,
0,
-1,
1,
1,
0,
1,
0,
0,
0,
1,
0,
0,
0,
0,
0,
1,
0,
1,
0,
0,
1,
0,
0,
0,
0,
1,
1,
0,
0,
0,
1,
0,
0,
0,
0,
0,
1,
0,
1,
0,
0,
0,
1,
0,
0,
1,
0,
0,
1,
1,
1,
0,
0,
0,
0,
0,
1,
1,
0,
0,
0,
1,
1,
0,
1,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,
0,
0,
0,
0,
0,
0,
0,
1,
1,
1,
0,
0,
0,
0,
0,
1,
0,
0,
0,
0,
0,
0,
0,
0,
1,
0,
0,
0,
0,
0,
0,
0,
1,
0,
0,
1,
1,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
-1,
0,
0,
-1,
-1,
-1,
-84,
-85,
-84,
-83,
-83,
-81,
-80,
-80,
-79,
-79,
-77,
-76,
-76,
-75,
-73,
-73,
-72,
-72,
-71,
-70,
-69,
-69,
-67,
-67,
-66,
-65,
-65,
-64,
-63,
-63,
-62,
-62,
-60,
-60,
-60,
-59,
-58,
-57,
-57,
-56,
-56,
-55,
-55,
-54,
-53,
-53,
-53,
-51,
-51,
-50,
-51,
-49,
-49,
-48,
-48,
-48,
-47,
-46,
-46,
-45,
-45,
-44,
-43,
-44,
-43,
-43,
-41,
-41,
-41,
-40,
-40,
-40,
-39,
-39,
-39,
-39,
-38,
-37,
-36,
-37,
-37,
-36,
-35,
-35,
-35,
-35,
-34,
-33,
-33,
-33,
-32,
-32,
-32,
-31,
-31,
-30,
-31,
-30,
-30,
-29,
-29,
-28,
-28,
-28,
-28,
-27,
-27,
-26,
-27,
-26,
-26,
-26,
-24,
-25,
-24,
-25,
-24,
-24,
-24,
-24,
-23,
-23,
-23,
-23,
-22,
-22,
-22,
-22,
-20,
-21,
-20,
-20,
-20,
-20,
-20,
-20,
-20,
-19,
-19,
-19,
-19,
-19,
-17,
-18,
-18,
-18,
-17,
-17,
-17,
-16,
-16,
-17,
-16,
-16,
-16,
-16,
-15,
-15,
-15,
-15,
-15,
-15,
-15,
-15,
-14,
-13,
-14,
-14,
-13,
-13,
-14,
-13,
-13,
-13,
-13,
-12,
-13,
-12,
-12,
-12,
-12,
-12,
-12,
-12,
-11,
-11,
-11,
-11,
-11,
-11,
-11,
-10,
-11,
-11,
-10,
-11,
-9,
-9,
-10,
-9,
-10,
-10,
-9,
-8,
-9,
-9,
-9,
-8,
-8,
-8,
-8,
-8,
-8,
-8,
